JDTDB,Calendar Date (TDB),X,Y, Z,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.124008255827927E+04,  4.184122834522344E+04,  2.363258406926904E+04,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000, -4.618730756796806E+04,  1.053497905182448E+04,  2.271839476788999E+04,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000, -4.429930569591431E+04, -2.689138206050409E+04,  8.604912024473237E+03,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000, -1.666450636979448E+04, -4.868615596798025E+04, -1.050896454803632E+04,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000,  2.065945662969185E+04, -4.216724242549327E+04, -2.351045313743003E+04,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000,  4.596308699210947E+04, -1.111640889586820E+04, -2.283366980475603E+04,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000,  4.452519267464158E+04,  2.640277363707821E+04, -8.871880463283811E+03,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000,  1.719084308357994E+04,  4.856794438092224E+04,  1.025073053076862E+04,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000, -2.013801420745976E+04,  4.250248689039323E+04,  2.341592591078625E+04,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000, -4.576712000143895E+04,  1.174148538888237E+04,  2.297611800770664E+04,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000, -4.480531636266702E+04, -2.584062292360817E+04,  9.187356682179692E+03,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000, -1.780307514685394E+04, -4.840217406253478E+04, -9.940251160885076E+03,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.955023838281976E+04, -4.281573396566371E+04, -2.328631567723855E+04,
