JDTDB,Calendar Date (TDB),X,Y,Z,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -1.022306576552150E+03,  5.821294945007718E+04,  2.120744027735180E+04,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000, -3.396029964267804E+04,  4.279896730909968E+04,  2.922191297687195E+04,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000, -5.462796059607656E+04,  1.192213728325705E+04,  2.667847379013810E+04,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000, -5.555194207975805E+04, -2.326280809858039E+04,  1.449318486052439E+04,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000, -3.639231361335573E+04, -5.003692376217215E+04, -2.931549543192134E+03,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000, -4.073270796239298E+03, -5.871734048705732E+04, -1.929608744968405E+04,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000,  2.971891657273999E+04, -4.616507088605169E+04, -2.868308938523796E+04,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000,  5.276696460771127E+04, -1.692179584400387E+04, -2.770002144140942E+04,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000,  5.674374677197899E+04,  1.843825060356204E+04, -1.670520721665987E+04,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000,  4.021823521133740E+04,  4.713695056545823E+04,  3.256491873937957E+02,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000,  9.164472026794780E+03,  5.880855396019659E+04,  1.723902292128473E+04,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000, -2.519952149333816E+04,  4.923762141336015E+04,  2.792536349730985E+04,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000, -5.045918533427575E+04,  2.187881350387276E+04,  2.852299954084581E+04,
