JDTDB,Calendar Date (TDB),X,Y,Z,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -4.558239094261047E+04, -1.635652766221534E+04,  1.269738617342457E+04,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000, -2.266903542546468E+04, -4.415031902426312E+04, -6.602951669036524E+03,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000,  1.534442756832682E+04, -4.253788322436129E+04, -2.150575896611562E+04,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000,  4.314316128054473E+04, -1.260215474300466E+04, -2.209007891347299E+04,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000,  4.222761340821986E+04,  2.572251325060584E+04, -7.971822984458723E+03,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000,  1.321041122835524E+04,  4.692928234762930E+04,  1.145121803087714E+04,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000, -2.459836780427453E+04,  3.689923227082162E+04,  2.325137102141945E+04,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000, -4.602615236114861E+04,  2.300161793070933E+03,  1.956886854760410E+04,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000, -3.679598594179342E+04, -3.383008838088326E+04,  2.852151228703124E+03,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000, -3.054693815061543E+03, -4.742578773868085E+04, -1.576452707873345E+04,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000,  3.272266053866180E+04, -2.943842260459148E+04, -2.388346085178878E+04,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000,  4.671853235316974E+04,  8.146848900389535E+03, -1.610380952127261E+04,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.962331534780010E+04,  4.031109032799368E+04,  2.392879632359251E+03,
