JDTDB,Calendar Date (TDB),X,Y,Z
"2458988,5", A.D. 2020-May-19 00:00:00.0000,"61647,539508725","-231082,129169542","-262022,62896749"
"2458989,5", A.D. 2020-May-20 00:00:00.0000,"-232544,120785144","-262349,022255718","-54320,2937867521"
"2458990,5", A.D. 2020-May-21 00:00:00.0000,"-285296,458816979","-21234,8774104423","209780,657801864"
"2458991,5", A.D. 2020-May-22 00:00:00.0000,"-41839,5106820263","241927,818627099","256071,759675965"
"2458992,5", A.D. 2020-May-23 00:00:00.0000,"245055,169942461","253909,872746775","36489,4521179506"
"2458993,5", A.D. 2020-May-24 00:00:00.0000,"277520,415283468","2269,8224464433","-220980,355896511"
"2458994,5", A.D. 2020-May-25 00:00:00.0000,"21855,7722581635","-251729,50586098","-249017,612358474"
"2458995,5", A.D. 2020-May-26 00:00:00.0000,"-256497,131297756","-244378,393112046","-18512,917768537"
"2458996,5", A.D. 2020-May-27 00:00:00.0000,"-268541,45632441","16696,6861603549","231212,996241018"
"2458997,5", A.D. 2020-May-28 00:00:00.0000,"-1772,66361968297","260437,926610326","240876,299944836"
"2458998,5", A.D. 2020-May-29 00:00:00.0000,"266834,32215454","233780,238059111","443,166533807045"
"2458999,5", A.D. 2020-May-30 00:00:00.0000,"258400,313894316","-35600,0217117563","-240451,74996296"
"2459000,5", A.D. 2020-May-31 00:00:00.0000,"-18311,6742057982","-268021,972787947","-231698,171791068"
"2459001,5", A.D. 2020-Jun-01 00:00:00.0000,"-276008,84974122","-222177,685435065","17615,7945820961"
"2459002,5", A.D. 2020-Jun-02 00:00:00.0000,"-247139,31637058","54341,5298415493","248639,798609665"
"2459003,5", A.D. 2020-Jun-03 00:00:00.0000,"38322,2358200025","274442,152313864","221507,288691168"
"2459004,5", A.D. 2020-Jun-04 00:00:00.0000,"283993,376946778","209603,78223608","-35611,3944300997"
"2459005,5", A.D. 2020-Jun-05 00:00:00.0000,"234808,897702465","-72856,0313220992","-255757,63230726"
"2459006,5", A.D. 2020-Jun-06 00:00:00.0000,"-58159,5332767417","-279677,327019207","-210364,285208109"
"2459007,5", A.D. 2020-Jun-07 00:00:00.0000,"-290741,824742367","-196130,827809837","53439,9034727185"
"2459008,5", A.D. 2020-Jun-08 00:00:00.0000,"-221460,801375878","91048,1786493785","261759,07246794"
"2459009,5", A.D. 2020-Jun-09 00:00:00.0000,"77751,177135035","283697,881632756","198300,23317234"
"2459010,5", A.D. 2020-Jun-10 00:00:00.0000,"296235,639209393","181798,655617766","-71049,5697119851"
"2459011,5", A.D. 2020-Jun-11 00:00:00.0000,"207154,809683115","-108853,463205425","-266632,77232454"
"2459012,5", A.D. 2020-Jun-12 00:00:00.0000,"-96998,1121519367","-286493,589179367","-185385,484770001"
"2459013,5", A.D. 2020-Jun-13 00:00:00.0000,"-300441,343734262","-166688,334223836","88338,7330414332"
"2459014,5", A.D. 2020-Jun-14 00:00:00.0000,"-191950,669714181","126181,356076669","270343,451405478"
"2459015,5", A.D. 2020-Jun-15 00:00:00.0000,"115831,721970023","288044,66005766","171657,142436673"
"2459016,5", A.D. 2020-Jun-16 00:00:00.0000,"303349,542155367","150845,828210475","-105257,370027681"
"2459017,5", A.D. 2020-Jun-17 00:00:00.0000,"175916,980584815","-142969,318748183","-272888,696683163"
"2459018,5", A.D. 2020-Jun-18 00:00:00.0000,"-134155,228090539","-288352,504335982","-157194,457546945"
"2459019,5", A.D. 2020-Jun-19 00:00:00.0000,"-304939,837520336","-134359,511851206","121707,625769021"
"2459020,5", A.D. 2020-Jun-20 00:00:00.0000,"-159119,971821138","159132,978599888","274244,134908625"
"2459021,5", A.D. 2020-Jun-21 00:00:00.0000,"151904,816218301","287406,974860389","142039,563632496"
"2459022,5", A.D. 2020-Jun-22 00:00:00.0000,"305212,303223683","117280,768830956","-137642,116424147"
"2459023,5", A.D. 2020-Jun-23 00:00:00.0000,"141636,334733543","-174613,124255991","-274416,954296364"
"2459024,5", A.D. 2020-Jun-24 00:00:00.0000,"-168987,84144416","-285221,594740135","-126279,551878011"
"2459025,5", A.D. 2020-Jun-25 00:00:00.0000,"-304159,775950926","-99703,6500583036","152968,420179438"
"2459026,5", A.D. 2020-Jun-26 00:00:00.0000,"-123537,199604396","189332,680043744","273393,467108831"
"2459027,5", A.D. 2020-Jun-27 00:00:00.0000,"185346,196231967","281795,567493541","109960,586950169"
