Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg)
Agen;Anton PEIKRISHVILI;Pilier;Avant;18/09/1987;183;122
Agen;Dave RYAN;Pilier;Avant;21/04/1986;183;116
Agen;Giorgi TETRASHVILI;Pilier;Avant;31/08/1993;177;112
Agen;Kamaliele TUFELE;Pilier;Avant;11/10/1995;182;123
Agen;Malino VANAÏ;Pilier;Avant;04/05/1993;183;119
Agen;Morgan PHÉLIPPONNEAU;Pilier;Avant;05/09/1989;185;106
Agen;Walter DESMAISON;Pilier;Avant;18/10/1991;188;119
Agen;Clément MARTINEZ;Talonneur;Avant;14/03/1996;181;105
Agen;Marc BARTHOMEUF;Talonneur;Avant;19/07/1991;174;100
Agen;Paula NGAUAMO;Talonneur;Avant;19/02/1990;182;117
Agen;Adrian MOTOC;2ème ligne;2ème ligne;11/07/1996;197;108
Agen;Andrés ZAFRA;2ème ligne;2ème ligne;26/03/1996;197;116
Agen;Mickaël DE MARCO;2ème ligne;2ème ligne;22/04/1989;195;134
Agen;Pierce PHILLIPS;2ème ligne;2ème ligne;06/10/1992;203;119
Agen;Tom MURDAY;2ème ligne;2ème ligne;27/04/1989;200;114
Agen;Dylan HAYES;3ème ligne;3ème ligne;11/02/1994;194;114
Agen;Laurence PEARCE;3ème ligne;3ème ligne;03/12/1990;192;120
Agen;Romain BRIATTE;3ème ligne;3ème ligne;18/02/1993;194;105
Agen;Vincent FARRÉ;3ème ligne;3ème ligne;06/06/1990;193;103
Agen;Hugo VERDU;Mêlée;Demi;24/10/1996;176;82
Agen;Paul ABADIE;Mêlée;Demi;28/07/1994;176;88
Agen;Xavier CHAUVEAU;Mêlée;Demi;14/10/1992;180;84
Agen;Raphaël LAGARDE;Ouverture;Demi;30/10/1988;182;92
Agen;Alban CONDUCHÉ;Centre;Trois-Quarts;29/10/1996;190;102
Agen;Johann SADIE;Centre;Trois-Quarts;23/01/1989;188;96
Agen;Jordan PULETUA;Centre;Trois-Quarts;28/02/1990;193;105
Agen;Sam VAKA;Centre;Trois-Quarts;26/10/1992;187;98
Agen;Benito MASILEVU;Ailier;Trois-Quarts;07/10/1989;178;83
Agen;Julien JANÉ;Ailier;Trois-Quarts;12/09/1989;186;100
Agen;Timilai ROKODURU;Ailier;Trois-Quarts;21/01/1993;191;113
Agen;Valentin SAURS;Ailier;Trois-Quarts;12/02/1995;182;82
Agen;JJ TAULAGI;Arrière;Arrière;18/06/1993;180;90
Agen;Loris TOLOT;Arrière;Arrière;03/03/1993;185;90
Agen;Mathieu LAMOULIE;Arrière;Arrière;07/08/1990;184;93
Bayonne;Aretz IGUINIZ;Pilier;Avant;03/06/1983;188;114
Bayonne;Census JOHNSTON;Pilier;Avant;06/05/1981;189;130
Bayonne;Jean-Baptiste DE CLERCQ;Pilier;Avant;23/02/1994;183;115
Bayonne;Jon ZABALA;Pilier;Avant;26/11/1996;192;128
Bayonne;Luc MOUSSET;Pilier;Avant;03/04/1994;180;115
Bayonne;Swan CORMENIER;Pilier;Avant;10/01/1996;178;117
Bayonne;Toma'Akino TAUFA;Pilier;Avant;09/03/1995;180;125
Bayonne;Ugo BONIFACE;Pilier;Avant;21/07/1998;190;125
Bayonne;Viliamu AFATIA;Pilier;Avant;24/05/1990;189;124
Bayonne;Maxime DELONCA;Talonneur;Avant;29/04/1988;180;107
Bayonne;Maxime LAMOTHE;Talonneur;Avant;03/10/1998;184;109
Bayonne;Torsten VAN JAARSVELD;Talonneur;Avant;30/06/1987;175;106
Bayonne;Adam JAULHAC;2ème ligne;2ème ligne;31/01/1988;198;125
Bayonne;Bastien BERGOUNIOUX;2ème ligne;2ème ligne;18/06/1996;202;100
Bayonne;Edwin MAKA;2ème ligne;2ème ligne;25/01/1993;196;140
Bayonne;Evrard Dion OULAI;2ème ligne;2ème ligne;22/06/1993;198;125
Bayonne;Guillaume DUCAT;2ème ligne;2ème ligne;20/05/1996;205;115
Bayonne;Mariano GALARZA;2ème ligne;2ème ligne;11/12/1986;202;114
Bayonne;Pieter Jan VAN LILL;2ème ligne;2ème ligne;04/12/1983;193;120
Bayonne;André GORIN;3ème ligne;3ème ligne;30/11/1987;192;111
Bayonne;Antoine BATTUT;3ème ligne;3ème ligne;01/01/1984;192;104
Bayonne;Armandt KOSTER;3ème ligne;3ème ligne;20/01/1990;192;114
Bayonne;Arnaud DUPUTS;3ème ligne;3ème ligne;26/07/1995;188;98
Bayonne;Baptiste HÉGUY;3ème ligne;3ème ligne;11/05/1998;196;97
Bayonne;Benjamin COLLET;3ème ligne;3ème ligne;11/04/1989;184;103
Bayonne;Filimo TAOFIFENUA;3ème ligne;3ème ligne;15/10/1993;188;100
Bayonne;Jean MONRIBOT;3ème ligne;3ème ligne;11/10/1987;183;99
Bayonne;Mat LUAMANU;3ème ligne;3ème ligne;04/03/1988;193;127
Bayonne;Tom DARLET;3ème ligne;3ème ligne;06/08/1996;188;104
Bayonne;Emmanuel SAUBUSSE;Mêlée;Demi;23/11/1989;181;84
Bayonne;Guillaume ROUET;Mêlée;Demi;13/08/1988;170;75
Bayonne;Michael RURU;Mêlée;Demi;03/12/1990;182;93
Bayonne;Brandon FAJARDO;Ouverture;Demi;25/06/1994;181;77
Bayonne;Manuel ORDAS;Ouverture;Demi;21/02/1998;186;83
Bayonne;Alofa ALOFA;Centre;Trois-Quarts;12/03/1991;185;95
Bayonne;Callum WILSON;Centre;Trois-Quarts;28/10/1990;182;95
Bayonne;Maile MAMAO;Centre;Trois-Quarts;07/01/1996;187;117
Bayonne;Malietoa HINGANO;Centre;Trois-Quarts;27/01/1992;180;95
Bayonne;Peyo MUSCARDITZ;Centre;Trois-Quarts;02/01/1996;174;88
Bayonne;Romain BARTHÉLÉMY;Centre;Trois-Quarts;25/01/1990;186;97
Bayonne;Arthur DUHAU;Ailier;Trois-Quarts;09/08/1997;181;86
Bayonne;Djibril CAMARA;Ailier;Trois-Quarts;22/06/1989;183;90
Bayonne;Sean ROBINSON;Ailier;Trois-Quarts;02/11/1993;181;90
Bayonne;Aymeric LUC;Arrière;Arrière;14/10/1997;180;76
