nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
AAST;64;64460;64001;192;191;40;4,75;-0,083333;43,2833;-525;431721;367;393
ABAINVILLE;55;55130;55001;298;318;21;13,67;5,5;48,5333;52940;483153;282;388
ABANCOURT;59;59265;59001;448;432;79;5,67;3,21667;50,2333;31248;501403;36;70
ABANCOURT;60;60220;60001;646;568;107;6,01;1,76667;49,7;14554;494149;170;222
ABAUCOURT;54;54610;54001;298;310;38;7,8;6,25;48,9;61529;485349;182;235
ABAUCOURT-HAUTECOURT;55;55400;55002;99;114;10;9,68;5,53973;49,197;53223;491149;210;251
ABBANS-DESSOUS;25;25320;25001;235;174;73;3,2;5,88333;47,1333;55228;470801;220;315
ABBANS-DESSUS;25;25440;25002;307;272;69;4,43;5,88333;47,1167;55255;470712;268;470
ABBARETZ;44;44170;44001;1916;1509;31;61,76;-1,53333;47,55;-13154;473309;26;91
ABBECOURT;2;2300;2001;528;447;88;5,96;3,18333;49,6;31047;493544;38;64
ABBECOURT;60;60430;60002;775;669;104;7,44;2,15;49,3667;20931;492120;77;150
ABBENANS;25;25340;25003;355;369;31;11,17;6,45;47,5;62702;473000;270;447
ABBEVILLE;80;80132;80001;24155;24568;914;26,42;1,83333;50,1;15007;500619;2;76
ABBEVILLE-LA-RIVIERE;91;91150;91001;283;261;18;15,02;2,16667;48,35;21000;482047;77;147
ABBEVILLE-LES-CONFLANS;54;54800;54002;231;244;29;7,73;5,85;49,2;55040;491152;196;230
ABBEVILLE-SAINT-LUCIEN;60;60480;60003;529;506;100;5,26;2,16667;49,5167;21011;493101;130;156
ABBEVILLERS;25;25310;25004;1076;876;96;11,18;6,91667;47,4333;65506;472553;427;612
ABEILHAN;34;34290;34001;1355;985;173;7,81;3,3;43,45;31741;432659;43;105
ABELCOURT;70;70300;70001;340;303;45;7,46;6,3;47,7833;61725;474707;247;302
ABERE;64;64160;64002;147;133;25;5,81;-0,166667;43,3833;-1032;432323;239;346
ABERGEMENT-LA-RONCE;39;39500;39001;765;735;107;7,12;5,38333;47,0667;52209;470412;186;195
ABERGEMENT-LE-GRAND;39;39600;39002;64;41;15;4,22;5,68333;46,9167;54053;465449;239;288
ABERGEMENT-LE-PETIT;39;39800;39003;41;43;26;1,52;5,7;46,9;54144;465409;250;290
ABERGEMENT-LES-THESY;39;39110;39004;67;53;14;4,63;5,93333;46,9167;55623;465502;619;732
ABIDOS;64;64150;64003;236;200;77;3,06;-0,616667;43,4;-3727;432355;86;170
ABILLY;37;37160;37001;1121;1106;37;30,27;0,727778;46,9412;4340;465628;42;123
ABITAIN;64;64390;64004;101;107;15;6,59;-0,983333;43,4167;-5921;432514;28;136
ABJAT-SUR-BANDIAT;24;24300;24001;650;622;23;27,62;0,758056;45,585;4529;453506;196;355
ABLAIN-SAINT-NAZAIRE;62;62153;62001;1791;1847;181;9,85;2,71667;50,3833;24245;502332;77;188
ABLAINCOURT-PRESSOIR;80;80320;80002;265;227;28;9,46;2,82195;49,8398;24919;495023;67;88
ABLAINZEVELLE;62;62116;62002;200;173;46;4,32;2,73333;50,15;24353;500908;116;144
ABLANCOURT;51;51240;51001;151;172;21;7,07;4,53333;48,8167;43119;484849;89;177
ABLEIGES;95;95450;95002;943;960;117;8,03;1,98333;49,0833;15853;490525;40;128
ABLIS;78;78660;78003;3287;2705;126;25,92;1,84167;48,5167;15008;483060;132;164
ABLON;14;14600;14001;1189;1044;99;12;0,3;49,4;1744;492336;0;118
ABLON-SUR-SEINE;94;94480;94001;5171;4868;4658;1,11;2,41667;48,7167;22516;484332;32;85
ABOEN;42;42380;42001;363;234;40;8,96;4,13333;45,4167;40754;452449;594;771
ABONCOURT;54;54115;54003;112;123;16;6,93;5,96667;48,3583;55801;482129;324;476
ABONCOURT;57;57920;57001;387;346;65;5,9;6,35;49,2667;62049;491538;192;315
ABONCOURT-GESINCOURT;70;70500;70002;232;204;21;10,68;5,97306;47,772;55823;474619;215;315
ABONCOURT-SUR-SEILLE;57;57590;57002;71;64;19;3,63;6,35;48,8167;62022;484859;195;290
ABONDANCE;74;74360;74001;1342;1297;22;58,84;6,73333;46,2833;64319;461644;840;2420
ABONDANT;28;28570;28001;2160;1743;62;34,8;1,43333;48,7833;12621;484705;69;141
ABOS;64;64360;64005;487;481;57;8,45;-0,566667;43,35;-3347;432129;108;250
ABRESCHVILLER;57;57560;57003;1510;1285;36;41,29;7,1;48,6333;70548;483813;273;968
ABREST;3;3200;3001;2732;2419;261;10,46;3,43333;46,1;32641;460555;251;434
ABRIES;5;5460;5001;365;358;4;77,13;6,93333;44,7833;65538;444743;1513;3305
ABSCON;59;59215;59002;4228;4136;581;7,27;3,3;50,3333;31808;502003;38;64
ABZAC;16;16500;16001;496;539;14;33,35;0,7;46,1;4215;460610;122;232
ABZAC;33;33230;33001;1790;1598;133;13,44;-0,133333;45,0167;-741;450060;5;65
ACCOLANS;25;25250;25005;98;79;18;5,18;6,53333;47,5;63155;472940;360;532
ACCOLAY;89;89460;89001;438;433;47;9,27;3,71667;47,6667;34232;473939;110;231
ACCONS;7;7160;7001;428;418;43;9,87;4,38333;44,9;42313;445310;476;1201
ACCOUS;64;64490;64006;426;433;7;60,68;-0,6;42,9833;-3559;425826;420;2458
ACHAIN;57;57340;57004;83;94;17;4,79;6,58333;48,9167;63532;485449;227;330
ACHEN;57;57410;57006;1010;937;83;12,12;7,18333;49,05;71058;490236;225;336
ACHENHEIM;67;67204;67001;2168;2184;359;6,03;7,63333;48,5833;73737;483452;143;191
ACHERES;18;18250;18001;371;353;29;12,75;2,46667;47,2833;22655;471642;211;317
ACHERES;78;78260;78005;19626;18929;2079;9,44;2,06667;48,9667;20407;485744;18;32
ACHERES-LA-FORET;77;77760;77001;1242;1046;98;12,6;2,56667;48,35;23354;482044;73;126
ACHERY;2;2800;2002;587;542;85;6,9;3,38333;49,6833;32323;494132;48;103
ACHEUX-EN-AMIENOIS;80;80560;80003;569;514;80;7,07;2,53333;50,0667;23158;500425;118;152
ACHEUX-EN-VIMEU;80;80210;80004;528;503;42;12,33;1,68333;50,0667;14039;500356;38;111
ACHEVILLE;62;62320;62003;608;457;200;3,04;2,88333;50,3833;25259;502260;51;71
ACHEY;70;70180;70003;71;55;10;7,05;5,6;47,5667;53628;473427;206;258
ACHICOURT;62;62217;62004;7705;7688;1297;5,94;2,76667;50,2667;24534;501624;60;101
ACHIET-LE-GRAND;62;62121;62005;1068;1015;210;5,08;2,78333;50,1333;24657;500750;104;136
ACHIET-LE-PETIT;62;62121;62006;339;328;46;7,25;2,75;50,1167;24505;500726;97;139
ACHUN;58;58110;58001;142;170;5;24,51;3,66667;47,1167;34049;470728;243;317
ACHY;60;60690;60004;347;291;27;12,7;1,95;49,5667;15845;493323;91;187
ACIGNE;35;35690;35001;6166;5254;208;29,55;-1,53333;48,1333;-13212;480803;29;96
ACLOU;27;27800;27001;266;222;71;3,7;0,7;49,1667;4217;491013;57;155
ACON;27;27570;27002;473;407;51;9,16;1,1;48,7667;10527;484622;115;179
ACQ;62;62144;62007;552;502;113;4,86;2,65;50,35;23925;502052;77;145
ACQUEVILLE;14;14220;14002;186;178;27;6,65;-0,366667;48,9717;-2200;485818;126;211
ACQUEVILLE;50;50440;50001;650;650;112;5,79;-1,75;49,6083;-14457;493635;72;178
ACQUIGNY;27;27400;27003;1574;1448;88;17,83;1,18333;49,1667;11042;491022;14;143
ACQUIN-WESTBECOURT;62;62380;62008;684;625;47;14,29;2,08917;50,7276;20521;504339;60;178
ACY;2;2200;2003;959;952;82;11,67;3,41667;49,35;32449;492043;42;165
ACY-EN-MULTIEN;60;60620;60005;782;752;68;11,47;2,96667;49,1;25717;490618;77;140
ACY-ROMANCE;8;8300;8001;441;437;39;11,13;4,33333;49,5;42030;493004;67;147
ADAINCOURT;57;57580;57007;117;107;34;3,42;6,43333;49;62609;490019;221;273
ADAINVILLE;78;78113;78006;759;824;74;10,16;1,65;48,7167;13910;484322;105;184
ADAM-LES-PASSAVANT;25;25360;25006;99;77;10;9,59;6,36667;47,3;62142;471749;310;561
ADAM-LES-VERCEL;25;25530;25007;108;67;33;3,19;6,4;47,1667;62329;471005;634;821
ADAMSWILLER;67;67320;67002;392;459;115;3,4;7,2;48,9;71210;485417;234;303
ADAST;65;65260;65001;257;227;244;1,05;-0,083333;42,9667;-440;425825;434;542
ADE;65;65100;65002;741;678;102;7,24;-0,033333;43,1333;-138;430802;382;583
ADELANGE;57;57380;57008;227;208;39;5,81;6,61667;49;63643;490019;251;317
ADELANS-ET-LE-VAL-DE-BITHAINE;70;70200;70004;309;251;17;17,3;6,39778;47,7098;62352;474235;292;445
ADERVIELLE-POUCHERGUES;65;65240;65003;106;81;11;9,14;0,403889;42,8189;2414;424908;921;2326
ADILLY;79;79200;79002;309;285;23;12,92;-0,316667;46,6833;-1831;464124;143;221
ADINFER;62;62116;62009;237;212;38;6,19;2,7;50,1833;24229;501139;100;149
ADISSAN;34;34230;34002;966;732;216;4,46;3,43333;43,5333;32542;433207;30;105
ADON;45;45230;45001;179;198;7;24,65;2,8;47,7667;24745;474547;137;176
ADRIERS;86;86430;86001;728;796;10;68,09;0,8;46,25;4751;461525;110;231
AFA;2A;20167;2A001;2843;2054;240;11,84;8,79556;41,9839;84744;415902;36;682
AFFIEUX;19;19260;19001;371;349;12;30,19;1,75;45,5167;14601;453103;333;772
AFFLEVILLE;54;54800;54004;200;196;21;9,42;5,76667;49,2667;54548;491613;237;286
AFFOUX;69;69170;69001;331;248;31;10,65;4,4;45,8333;42412;455042;498;960
AFFRACOURT;54;54740;54005;103;113;18;5,56;6,16667;48,4667;61013;482741;239;327
AFFRINGUES;62;62380;62010;217;202;77;2,81;2,06667;50,6833;20424;504121;52;158
AGASSAC;31;31230;31001;117;121;12;9,58;0,883333;43,3667;5315;432216;197;336
AGDE;34;34300;34003;24567;20066;483;50,81;3,46667;43,3167;32831;431836;0;110
AGEL;34;34210;34004;219;167;17;12,54;2,85;43,3333;25112;432016;70;257
AGEN;47;47000;47001;33981;30199;2957;11,49;0,633333;44,2;3707;441211;37;162
AGEN-D'AVEYRON;12;12630;12001;1077;1013;48;22,35;2,68333;44,3667;24045;442125;525;863
AGENCOURT;21;21700;21001;397;419;94;4,2;4,98333;47,1333;45851;470741;209;237
AGENVILLE;80;80370;80005;114;91;34;3,3;2,1;50,1667;20610;500957;88;136
AGENVILLERS;80;80150;80006;193;181;32;5,98;1,91667;50,1667;15510;501042;58;85
AGEVILLE;52;52340;52001;312;292;15;19,55;5,35;48,1167;52120;480636;322;449
AGEY;21;21410;21002;270;258;32;8,42;4,76667;47,2833;44545;471703;289;548
AGHIONE;2B;20270;2B002;234;245;6;33,88;9,41751;42,1075;92503;420627;17;459
AGINCOURT;54;54770;54006;426;396;102;4,17;6,23333;48,7333;61414;484358;204;322
AGME;47;47350;47002;141;102;28;5,01;0,333333;44,4833;2046;442925;48;116
AGNAC;47;47800;47003;441;388;31;13,84;0,366667;44,65;2310;443833;39;125
AGNAT;43;43100;43001;190;209;9;19,65;3,46667;45,35;32657;452036;445;860
AGNEAUX;50;50180;50002;4020;4468;618;6,5;-1,1;49,1167;-10640;490700;7;86
AGNETZ;60;60600;60007;2960;2637;228;12,94;2,38333;49,3833;22303;492256;52;163
AGNEZ-LES-DUISANS;62;62161;62011;675;649;92;7,3;2,66667;50,3;23933;501828;67;111
AGNICOURT-ET-SECHELLES;2;2340;2004;207;211;19;10,79;3,95;49,7167;35712;494259;96;175
AGNIERES;62;62690;62012;236;151;72;3,25;2,6;50,35;23614;502111;87;131
AGNIERES-EN-DEVOLUY;5;5250;5002;270;212;8;32,46;5,88333;44,7;55253;444139;1114;2597
AGNIN;38;38150;38003;969;789;121;7,96;4,86667;45,3333;45126;452024;167;331
AGNOS;64;64400;64007;880;751;95;9,18;-0,616667;43,1667;-3709;430948;247;535
AGNY;62;62217;62013;1958;1954;323;6,05;2,76667;50,2667;24534;501536;65;98
AGON-COUTAINVILLE;50;50230;50003;2834;2724;229;12,35;-1,575;49,0417;-13436;490232;0;49
AGONAC;24;24460;24002;1643;1451;44;37,22;0,75;45,2833;4501;451734;110;224
